Trajectories
100
,,benjamin:piedDroit1,,,benjamin:piedDroit2,,,benjamin:piedGauche1,,,benjamin:piedGauche2,,,benjamin:tibiaGauche2,,,benjamin:tibiaDroite2,,,benjamin:cuisseDroite2,,,benjamin:cuisseGauche2,,,benjamin:ventreGauche1,,,benjamin:torse2,,,benjamin:epauleDroite2,,,benjamin:epauleGauche2,,,benjamin:brasGauche2,,,benjamin:brasDroit2,,,benjamin:avantBrasDroit2,,,benjamin:avantBrasGauche2,,,benjamin:tete1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-651.881,955.265,86.5191,-772.473,1014.92,136.857,-713.195,1199.59,137.29,-589.678,1202.83,84.6138,-696.617,1246.58,505.518,-743.864,992.677,494.472,-680.777,992.147,944.574,-658.447,1247.92,937.937,-640.747,1114.44,1155.46,-674.854,1118.05,1350.43,-781.187,908.326,1460.24,-754.299,1336.96,1454.48,-766.419,1392.45,1119.1,-840.751,824.424,1129.5,-758.506,896.504,906.543,-642.721,1330.31,918.234,-724.65,1123.07,1780.17
2,0,-651.862,955.314,86.5321,-772.444,1015.02,136.808,-713.18,1199.57,137.223,-589.662,1202.8,84.6024,-695.476,1246.77,505.794,-742.874,993.257,494.545,-680.357,992.716,944.733,-659.212,1248.16,937.933,-640.804,1115.01,1155.43,-674.66,1118.73,1350.46,-780.14,908.555,1460.34,-755.099,1337.31,1454.3,-769.091,1391.61,1118.59,-839.867,825.189,1129.36,-757.949,897.106,906.618,-645.651,1332.36,916.933,-725.643,1123.22,1780.23
3,0,-651.808,955.379,86.5485,-772.402,1015.15,136.812,-713.125,1199.59,137.189,-589.675,1202.78,84.5799,-694.459,1246.71,505.974,-742.043,993.689,494.66,-679.985,993.301,944.901,-659.439,1248.66,938.132,-640.912,1115.58,1155.36,-674.447,1119.44,1350.53,-779.207,908.988,1460.64,-755.911,1337.79,1454.27,-771.978,1390.9,1118.35,-838.996,825.248,1129.68,-756.473,895.636,907.5,-648.826,1334.78,915.801,-726.545,1123.54,1780.36
4,0,-651.794,955.459,86.5676,-772.335,1015.28,136.776,-713.1,1199.58,137.157,-589.688,1202.77,84.6255,-693.372,1246.68,506.235,-741.236,993.985,494.636,-679.634,993.937,945.101,-659.688,1249.09,938.272,-641.127,1116.3,1155.28,-674.331,1120.1,1350.53,-778.18,909.382,1460.77,-756.827,1338.22,1454.26,-775.016,1390.33,1118.21,-838.179,824.198,1130.24,-756.091,896.608,907.285,-652.482,1337.15,913.985,-727.52,1123.89,1780.47
5,0,-651.747,955.472,86.5255,-772.285,1015.41,136.754,-713.061,1199.57,137.074,-589.69,1202.72,84.6099,-692.2,1246.68,506.539,-740.303,994.137,494.652,-679.434,994.214,945.203,-659.906,1249.6,938.46,-641.429,1116.97,1155.13,-674.246,1120.8,1350.5,-776.835,909.743,1460.92,-757.604,1338.81,1454.54,-778.154,1389.66,1117.92,-836.992,824.011,1130.37,-755.616,898.476,906.721,-655.662,1340.16,912.681,-728.361,1124.26,1780.61
6,0,-651.692,955.533,86.4933,-772.195,1015.57,136.757,-713.173,1199.56,137.043,-589.683,1202.71,84.6635,-691.034,1246.61,506.716,-739.236,994.273,494.75,-679.015,995.101,945.475,-660.141,1250.19,938.681,-641.743,1117.64,1155.02,-674.189,1121.46,1350.47,-775.48,913.351,1459.96,-758.628,1339,1454.47,-781.345,1389.26,1117.93,-835.63,824.533,1130.37,-755.534,899.616,906.889,-659.402,1342.94,911.306,-729.025,1124.67,1780.7
7,0,-651.677,955.588,86.458,-772.131,1015.72,136.695,-712.938,1199.56,136.942,-589.67,1202.65,84.6401,-689.739,1246.59,506.982,-738.305,994.224,494.803,-678.633,995.716,945.715,-660.356,1250.85,939.029,-642.077,1118.32,1154.89,-674.15,1122.07,1350.43,-774.667,908.694,1460.98,-759.716,1339.28,1454.55,-784.519,1388.9,1117.94,-834.465,825.669,1130.23,-754.875,900.329,907.06,-662.5,1346.7,910.759,-729.561,1125.11,1780.8
8,0,-651.628,955.596,86.4064,-772.099,1015.94,136.676,-712.895,1199.54,136.863,-589.668,1202.59,84.6105,-688.527,1246.56,507.375,-737.314,994.355,494.834,-678.327,996.21,945.823,-660.654,1251.42,939.331,-642.386,1118.95,1154.77,-674.033,1122.81,1350.49,-773.123,909.399,1461.36,-760.918,1339.66,1454.68,-787.7,1388.82,1118.02,-833.1,825.202,1130.54,-753.738,900.58,907.081,-665.735,1350.65,910.314,-730.103,1125.55,1780.88
9,0,-651.559,955.651,86.3695,-772.028,1016.12,136.642,-712.798,1199.56,136.758,-589.657,1202.58,84.6414,-687.574,1246.35,507.696,-736.202,994.708,494.98,-677.987,996.683,945.94,-660.901,1252.03,939.69,-642.609,1119.74,1154.78,-673.964,1123.55,1350.53,-770.982,911.471,1461.09,-762.32,1339.5,1454.42,-790.742,1388.92,1118.24,-831.436,823.619,1131.11,-753.044,901.226,907.183,-668.965,1354.52,909.6,-730.578,1126.01,1780.98
10,0,-651.522,955.717,86.3672,-771.997,1016.34,136.632,-712.711,1199.6,136.638,-589.672,1202.53,84.6279,-686.441,1246.15,507.891,-735.355,994.868,495.046,-677.871,996.997,945.988,-661.133,1252.64,940.099,-642.822,1120.39,1154.73,-673.99,1124.16,1350.47,-769.807,911.598,1460.97,-763.554,1339.67,1454.48,-793.632,1389.38,1118.51,-830.122,824.689,1130.86,-752.521,901.833,907.242,-672.217,1358.54,908.986,-730.971,1126.33,1781.03
11,0,-651.56,955.488,85.9455,-771.978,1016.47,136.569,-712.595,1199.63,136.524,-589.673,1202.51,84.6607,-685.113,1245.97,507.912,-734.541,995.134,495.022,-677.531,997.386,945.977,-661.347,1253.3,940.598,-642.947,1121.02,1154.69,-674.169,1124.84,1350.46,-768.395,911.329,1461.15,-764.91,1339.88,1454.61,-796.416,1390.03,1118.7,-828.104,824.741,1130.92,-751.661,902.241,907.278,-675.484,1362.33,908.33,-731.418,1126.81,1781.17
12,0,-651.422,955.746,86.2284,-771.964,1016.64,136.573,-712.508,1199.67,136.374,-589.673,1202.46,84.6234,-683.889,1245.92,508.217,-733.774,995.357,495.026,-677.148,997.731,945.983,-661.679,1253.72,941.065,-643.023,1121.72,1154.62,-674.247,1125.4,1350.41,-766.658,911.294,1461.27,-766.302,1340.11,1454.79,-799.199,1391.12,1119.15,-825.815,824.322,1130.93,-750.682,902.654,907.33,-678.992,1366.28,907.793,-731.817,1127.24,1781.25
13,0,-651.385,955.744,86.1509,-771.955,1016.79,136.499,-712.419,1199.71,136.191,-589.676,1202.45,84.6399,-682.817,1245.96,508.523,-733.161,995.596,495.057,-676.509,998.293,945.962,-662.118,1254.11,941.542,-642.987,1122.38,1154.6,-674.308,1125.96,1350.3,-765.233,911.887,1461.32,-767.574,1340.44,1455.08,-801.942,1392.17,1119.55,-823.202,820.403,1132.9,-749.701,903.011,907.377,-682.218,1370.55,908.029,-732.146,1127.8,1781.34
14,0,-651.312,955.771,86.1118,-771.954,1016.94,136.476,-712.301,1199.78,136.043,-589.675,1202.41,84.6383,-681.644,1245.89,508.854,-732.788,995.653,495.103,-675.965,998.848,945.89,-661.833,1255.19,942.388,-643,1123.09,1154.53,-674.19,1126.66,1350.43,-764.165,912.009,1461.07,-769.037,1340.4,1455.16,-804.767,1393.2,1119.89,-823.376,825.882,1130.75,-748.412,903.469,907.245,-685.395,1374.31,907.618,-732.503,1128.32,1781.41
