Trajectories
100
,,box:segment11,,,box:segment12,,,box:segment13,,,box:segment14,,,box:segment23,,,box:segment24,,,box:segment33,,,box:segment43,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,111.187,-68.5404,199.764,-70.0458,-69.5641,198.864,-66.3156,50.341,199.699,105.282,50.4221,200.732,-65.0883,71.0015,39.2359,108.518,71.4704,36.7301,-67.6896,-87.5538,36.236,106.411,-85.7179,35.6945
2,0,111.179,-68.548,199.764,-70.0314,-69.5388,198.877,-66.3101,50.3457,199.699,105.283,50.4303,200.73,-65.0811,71.0475,39.275,108.508,71.5509,36.8179,-67.6858,-87.5393,36.2032,106.418,-85.7048,35.6949
3,0,111.176,-68.5553,199.767,-70.0427,-69.5536,198.864,-66.3195,50.3504,199.684,105.263,50.4318,200.713,-65.0745,71.0127,39.2426,108.507,71.4745,36.7418,-67.6752,-87.5606,36.2047,106.418,-85.7162,35.7097
4,0,111.171,-68.5545,199.76,-70.0301,-69.5544,198.857,-66.3151,50.3616,199.705,105.276,50.4521,200.711,-65.072,71.0308,39.2508,108.501,71.5085,36.7738,-67.6854,-87.5173,36.2174,106.415,-85.6696,35.6412
5,0,111.166,-68.5921,199.755,-70.047,-69.5479,198.88,-66.3195,50.3568,199.7,105.279,50.4334,200.759,-65.0791,70.9974,39.2355,108.528,71.4947,36.7644,-67.6953,-87.5697,36.2612,106.391,-85.7013,35.7003
6,0,111.188,-68.5673,199.772,-70.0403,-69.5432,198.884,-66.3083,50.352,199.689,105.302,50.446,200.745,-65.0778,71.0601,39.2689,108.519,71.5224,36.7911,-67.6708,-87.5357,36.2296,106.418,-85.6561,35.6853
7,0,111.183,-68.5555,199.756,-70.0285,-69.5277,198.886,-66.3076,50.364,199.711,105.299,50.4473,200.741,-65.0733,71.0133,39.2226,108.515,71.562,36.8181,-67.6936,-87.5384,36.2202,106.41,-85.6786,35.7128
8,0,111.19,-68.5739,199.756,-70.0303,-69.5214,198.897,-66.3032,50.3817,199.703,105.303,50.4751,200.768,-65.0747,71.0021,39.2277,108.516,71.5117,36.7493,-67.6611,-87.5243,36.1878,106.394,-85.6632,35.694
9,0,111.189,-68.5664,199.765,-70.025,-69.5175,198.92,-66.3031,50.3523,199.708,105.309,50.4627,200.755,-65.0785,71.0096,39.2256,108.505,71.5366,36.7573,-67.6972,-87.5181,36.1938,106.399,-85.6776,35.7291
