Trajectories
100
,,movedBox:segment11,,,movedBox:segment12,,,movedBox:segment22,,,movedBox:segment32,,,movedBox:segment52,,,movedBox:segment62,,,movedBox:segment72,,,movedBox:segment82,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-66.6906,1575.77,1376.36,-53.7563,1404.74,1376.51,66.0263,1410.24,1377.89,51.676,1590.52,1377.83,-86.3608,1575.61,1213.95,-72.7431,1403.79,1217.65,87.8951,1414.25,1217.02,73.5595,1587.21,1216.1
2,0,-66.3949,1576.38,1376.4,-53.5291,1405.32,1376.62,66.3539,1410.95,1378.13,51.9301,1591.03,1377.7,-86.2536,1576.11,1214.01,-72.6934,1404.26,1217.77,87.9744,1414.6,1216.95,73.6436,1587.56,1215.9
3,0,-66.1251,1576.85,1376.37,-53.3161,1405.8,1376.65,66.5526,1411.42,1378.1,52.2078,1591.51,1377.58,-86.1686,1576.55,1214.06,-72.6757,1404.71,1217.92,88.0753,1414.98,1216.96,73.7979,1588.05,1215.93
4,0,-65.897,1577.33,1376.4,-53.1553,1406.24,1376.71,66.688,1411.9,1378.08,52.4159,1591.93,1377.51,-86.085,1576.92,1214.07,-72.6441,1405.11,1218.01,88.1455,1415.27,1216.87,73.8496,1588.35,1215.75
5,0,-65.7041,1577.73,1376.37,-53.0396,1406.64,1376.73,66.8061,1412.23,1378.03,52.5708,1592.31,1377.43,-86.0052,1577.27,1214.06,-72.2089,1405.16,1218.04,88.3069,1415.69,1216.93,73.9813,1588.69,1215.69
6,0,-65.5639,1578.16,1376.39,-52.9658,1406.94,1376.69,66.8529,1412.56,1378.06,52.6892,1592.68,1377.41,-85.9364,1577.61,1214.05,-72.8277,1405.85,1218.14,88.3972,1416.02,1216.92,74.0789,1588.97,1215.62
7,0,-65.4812,1578.48,1376.33,-52.967,1407.28,1376.69,66.8542,1412.84,1378.05,52.7775,1592.99,1377.41,-85.8319,1577.92,1214.02,-72.7972,1406.17,1218.11,88.4809,1416.27,1216.88,74.1761,1589.26,1215.61
8,0,-65.4179,1578.77,1376.3,-52.966,1407.56,1376.65,66.8206,1413.06,1378.05,52.8395,1593.2,1377.38,-85.6914,1578.21,1213.95,-72.7889,1406.49,1218.06,88.5507,1416.5,1216.91,74.3018,1589.52,1215.64
9,0,-65.3723,1579.03,1376.29,-53.0337,1407.77,1376.59,66.7972,1413.23,1378.08,52.87,1593.37,1377.41,-85.5709,1578.51,1213.96,-72.7943,1406.74,1218.02,88.57,1416.68,1216.9,74.4108,1589.71,1215.64
10,0,-65.3027,1579.23,1376.26,-53.1182,1407.95,1376.52,66.727,1413.31,1378.06,52.9167,1593.46,1377.41,-85.4286,1578.73,1213.9,-72.8446,1407.01,1217.97,88.5947,1416.81,1216.89,74.5466,1589.8,1215.6
11,0,-65.2539,1579.35,1376.24,-53.1794,1408.11,1376.44,66.6536,1413.33,1377.99,53.0176,1593.52,1377.44,-85.2781,1578.93,1213.87,-72.8319,1407.14,1217.79,88.6594,1416.94,1216.93,74.7038,1589.9,1215.67
