Trajectories
100
,,Saut:11,,,Saut:12,,,Saut:21,,,Saut:22,,,Saut:32,,,Saut:42,,,Saut:52,,,Saut:62,,,Saut:72,,,Saut:81,,,Saut:112,,,Saut:131,,,Saut:151,,,Saut:161,,,Saut:171,,,Saut:181,,,Saut:192,,,Saut:212,,,Saut:231,,,Saut:242,,,Saut:251,,,Saut:271,,,Saut:282,,,Saut:291,,,Saut:312,,,Saut:332,,,Saut:352,,,Saut:361,,,Saut:371,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
34,0,76.9899,299.483,55.1909,232.111,163.824,59.5529,-209.703,-101.628,78.2142,-30.2588,-150.205,58.3197,99.0569,291.093,197.482,-187.046,-120.142,212.344,128.381,248.402,558.291,-29.7724,-125.92,527.731,106.528,58.4762,926.833,-158.736,72.2039,951.006,-9.2852,247.89,1035.11,-51.7441,-107.458,1051.43,-11.8532,-143.955,1424.27,104.204,-78.6529,1433.7,-76.5704,255.328,1441.9,49.8794,249.359,1411.1,31.3188,-249.336,1175.8,-123.472,378.174,1155.23,155.489,-234.247,931.946,270.991,-293.723,908.461,191.907,-321.48,874.549,-47.4377,447.887,921.964,-90.876,552.626,869.789,1.48415,567.816,908.307,-76.6286,50.3274,1472.1,98.5834,90.1141,1391.58,22.0737,66.4777,1695.08,151.672,42.1049,1629.37,97.1501,197.541,1610.82
35,0,74.8003,296.713,54.7481,233.391,166.016,59.5301,-210.159,-101.756,76.719,-30.2841,-150.145,58.3157,95.5026,289.655,197.77,-187.519,-120.503,210.53,122.644,247.87,558.684,-32.0875,-126.424,526.609,103.386,56.7979,926.652,-162.728,68.385,951.096,-14.8768,244.557,1035.41,-52.7205,-111.285,1050.78,-11.2871,-148.982,1422.92,103.553,-81.8661,1432.84,-82.0844,248.959,1442.91,44.6065,245.425,1411.76,35.8237,-252.818,1174.11,-134.391,370.902,1157.37,161.019,-233.809,931.188,278.104,-290.925,908.393,199.891,-319.952,873.431,-62.9917,442.349,923.249,-109.526,546.016,871.692,-17.0371,563.363,909.015,-79.0756,44.1925,1471.9,95.7127,87.0351,1391.42,18.9047,60.11,1694.92,149.089,37.5482,1629.24,93.5244,192.017,1610.92
36,0,72.504,294.317,54.8006,234.312,168.148,60.1244,-210.678,-101.854,74.9667,-30.2836,-150.128,58.3457,92.1279,287.143,197.501,-188.088,-121,208.542,116.571,247.057,558.663,-34.4359,-127.439,526.196,100.464,54.9796,926.488,-165.61,64.6464,951.01,-19.985,241.282,1035.76,-53.4985,-115.352,1050.04,-11.0075,-154.176,1421.57,102.636,-85.1183,1432.13,-87.2178,242.719,1444.02,39.4774,241.325,1412.47,39.867,-255.974,1172.47,-144.828,363.493,1159.54,166.269,-233.369,930.438,284.626,-287.327,907.88,207.44,-318.382,872.776,-78.1083,436.438,924.557,-127.999,538.75,873.447,-35.3858,558.59,909.658,-81.6132,38.1842,1471.73,92.5469,83.5356,1391.44,15.8925,53.7601,1695.06,146.49,33.4386,1628.86,88.8062,187.337,1611.86
37,0,70.219,290.433,53.0789,235.327,170.579,60.8982,-211.119,-101.949,72.9304,-30.3082,-150.113,58.3494,88.981,286.439,198.647,-188.832,-121.686,207.004,110.333,245.879,558.217,-37.3469,-128.51,525.614,97.26,53.6025,926.378,-169.17,60.6864,951.366,-25.5487,238.132,1036.09,-54.9263,-118.499,1049.3,-10.9742,-158.717,1420.01,101.531,-88.2481,1431.29,-92.2945,236.451,1444.84,34.5435,237.707,1413.27,43.5598,-258.748,1170.68,-154.828,355.757,1161.48,171.289,-232.772,929.746,290.796,-283.998,907.677,214.617,-316.678,872.095,-93.3114,429.831,925.584,-146.315,530.88,875.125,-53.5583,552.847,910.013,-84.1039,32.3525,1471.6,89.7157,80.3411,1391.6,13.2862,48.5636,1694.64,143.639,28.3779,1628.62,85.8766,182.162,1611.23
38,0,67.589,289.585,54.2254,236.005,173.364,61.4719,-211.607,-102.077,71.7163,-30.3849,-150.05,58.3853,85.4328,283.775,198.099,-189.895,-122.706,205.457,103.953,245.296,558.151,-40.2782,-129.479,524.985,94.0997,51.8869,926.219,-172.511,56.9871,951.631,-30.3699,235.3,1036.49,-56.7996,-121.376,1048.39,-11.2421,-163.314,1418.74,99.9464,-91.1909,1430.19,-96.9183,230.945,1446.11,29.7115,233.872,1413.93,46.7955,-261.37,1169.03,-164.576,348.196,1163.7,176.366,-233.922,928.663,296.532,-280.792,907.869,221.176,-314.74,871.512,-108.51,422.55,926.539,-164.378,522.269,876.598,-71.5682,546.287,909.792,-86.6289,26.9746,1471.34,86.6242,77.2434,1391.52,10.4203,42.4442,1694.71,140.953,24.011,1628.54,81.7511,177.406,1612.25
39,0,65.4772,287.808,54.5782,237.003,176.149,62.3262,-212.153,-102.193,70.4117,-30.665,-150.097,58.5175,81.5695,281.06,196.898,-191.375,-123.2,204.565,97.1668,244.389,557.522,-43.4923,-130.269,524.234,90.8266,50.4387,925.842,-175.812,53.3881,951.95,-34.6298,233.156,1036.94,-58.8703,-124.262,1047.86,-11.7616,-167.831,1417.33,98.7194,-94.5122,1429.71,-101.236,225.966,1447.52,25.381,230.044,1414.64,49.5024,-263.719,1167.4,-174.092,340.612,1165.8,180.273,-231.054,928.895,301.961,-277.498,908.185,227.438,-312.711,871.087,-123.38,414.828,927.452,-182.168,513.066,877.854,-89.2893,539.189,909.538,-89.0839,21.4548,1471.19,83.2832,73.4455,1391.4,7.64421,36.9684,1694.47,138.242,19.6055,1628.06,78.0861,172.689,1612.3
40,0,63.5768,284.91,53.4837,237.264,179.691,63.8941,-212.532,-102.393,68.8311,-30.7525,-149.893,58.4073,78.3308,279.309,196.503,-193.152,-123.09,202.363,90.7118,244.097,557.408,-46.9732,-131.375,523.81,87.6118,48.8876,925.507,-179.164,50.1786,952.039,-39.295,230.534,1037.23,-60.9928,-127.039,1047.46,-12.5788,-172.174,1416.03,96.722,-97.655,1428.77,-105.418,220.582,1448.55,20.9545,226.378,1415.31,51.8415,-265.745,1165.67,-182.579,333.017,1168,184.33,-229.886,928.629,306.907,-274.628,909.067,233.25,-310.492,870.812,-138.876,406.161,927.942,-199.787,503.451,879.272,-106.961,530.681,908.237,-91.7595,16.2763,1470.97,80.3893,70.2623,1391.34,4.85746,31.379,1694.26,135.583,14.9929,1627.83,74.5783,167.864,1612.63
41,0,61.5035,283.531,53.9309,237.429,183.563,65.074,-212.765,-102.118,66.8393,-30.774,-149.784,58.4391,75.0146,277.738,196.127,-194.543,-123.709,200.88,84.1351,243.154,556.7,-50.4688,-132.61,523.409,84.2929,47.2931,925.202,-182.354,47.2092,952.185,-43.6466,228.131,1037.59,-63.196,-129.673,1047.1,-13.6424,-176.282,1414.64,95.1798,-101.238,1428.33,-109.415,215.473,1449.68,17.0034,222.703,1416,53.5681,-267.642,1163.91,-190.77,325.302,1169.94,187.942,-228.777,928.304,310.866,-271.021,909.356,238.564,-307.976,870.484,-153.161,397.562,928.656,-217.137,493.132,880.435,-124.18,522.577,907.533,-94.3063,11.5503,1470.68,77.127,66.9187,1391.36,2.05923,25.6943,1693.86,132.758,10.3415,1627.26,71.1525,163.066,1613.08
42,0,58.6648,282.334,54.5492,237.837,188.676,66.475,-213.051,-102.2,65.8691,-30.8379,-149.687,58.4837,71.5734,276.772,196.043,-195.928,-123.872,199.832,77.7564,243.051,556.436,-54.0375,-133.488,522.616,80.9664,45.7791,924.787,-185.804,44.0609,952.398,-47.8683,225.951,1037.79,-65.47,-132.387,1046.8,-14.8647,-180.032,1413.21,92.8885,-104.194,1427.37,-113.244,210.771,1450.57,13.1329,219.373,1416.6,54.82,-269.258,1162.15,-198.724,317.71,1171.84,191.124,-227.22,928.224,315.07,-268.338,910.581,243.331,-305.671,870.486,-167.783,388.518,929.361,-234.127,482.673,882.101,-141.326,513.742,906.524,-96.7942,6.99697,1470.37,74.502,63.6424,1391.33,-0.595877,20.7438,1693.62,130.223,5.49946,1627.57,68.5817,158.294,1613.27
