Trajectories
100
,,Courir:11,,,Courir:12,,,Courir:21,,,Courir:22,,,Courir:32,,,Courir:42,,,Courir:51,,,Courir:61,,,Courir:72,,,Courir:81,,,Courir:112,,,Courir:132,,,Courir:151,,,Courir:161,,,Courir:171,,,Courir:181,,,Courir:192,,,Courir:212,,,Courir:232,,,Courir:242,,,Courir:252,,,Courir:272,,,Courir:282,,,Courir:292,,,Courir:311,,,Courir:332,,,Courir:351,,,Courir:352,,,Courir:361,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
318,0,-639.49,225.112,119.81,-456.523,307.512,84.8578,-575.852,-51.9438,70.299,-389.446,-67.3174,60.7489,-548.052,-75.1278,191.289,-578.278,261.61,247.097,-431.782,-80.9436,516.409,-420.265,298.454,576.904,-380.591,86.224,927.22,-639.454,32.085,950.075,-473.627,-115.914,1055.78,-532.903,235.118,1055.53,-419.726,-137.499,1446.48,-302.325,-67.7981,1427.78,-532.996,239.174,1468.83,-411.735,263.155,1415.06,-467.746,-250.246,1197.4,-707.813,267.301,1230.94,-331.781,-77.7338,1014.3,-195.271,-75.06,1030.51,-233.167,-99.5244,951.632,-769.961,214.826,995.287,-741.357,276.944,883.318,-838.316,282.133,911.281,-491.45,43.8978,1490.94,-331.815,106.617,1394.29,-295.655,33.4064,1639.02,-351.503,192.148,1639.55,-435.403,40.6372,1676
319,0,-639.753,222.963,124.839,-456.994,305.269,87.2968,-575.293,-52.5072,74.0158,-389.303,-67.5163,60.6686,-549.706,-76.0962,193.848,-578.187,259.935,251.993,-440.172,-82.9639,523.155,-420.955,296.732,582.883,-380.581,84.0785,932.871,-639.443,37.0098,958.431,-475.233,-114.046,1064.7,-529.423,236.818,1063.23,-421.387,-134.921,1455.48,-302.771,-67.0387,1437.25,-530.201,241.434,1476.33,-408.522,265.084,1421.75,-468.596,-248.236,1205.88,-707.185,268.451,1241.87,-322.103,-68.6749,1036.82,-186.497,-66.9626,1061.93,-219.68,-87.7993,979.595,-778.127,212.386,1010.29,-755.043,271.08,895.393,-850.581,276.863,927.779,-490.829,47.2272,1498.46,-330.217,107.487,1401.99,-294.841,35.3212,1646.69,-349.328,195.499,1647.13,-434.701,43.2384,1683.56
320,0,-639.744,220.91,129.394,-457.597,302.119,89.0375,-574.028,-50.9634,75.7552,-389.244,-67.6856,60.5153,-550.886,-77.7505,198.054,-578.39,257.999,256.322,-448.097,-85.8681,530.806,-421.985,294.851,589.034,-379.815,85.5335,941.007,-640.278,38.9526,968.823,-477.261,-112.318,1072.91,-525.98,238.761,1071.08,-422.976,-132.292,1464.28,-303.263,-65.8641,1446.58,-526.815,244.78,1484.79,-405.118,267.21,1428.4,-469.373,-245.89,1213.78,-705.85,269.97,1252.36,-313.003,-59.4313,1060.49,-179.053,-60.0479,1092.79,-207.665,-76.2459,1007.76,-784.359,214.815,1023.48,-767.742,265.301,907.803,-861.759,272.026,944.315,-489.878,50.0597,1506.37,-328.708,108.721,1409.67,-294.123,36.7083,1654.34,-349.118,195.807,1654.3,-434.024,44.7447,1691.43
321,0,-639.436,219.336,134.046,-457.502,298.854,89.3499,-572.684,-53.3473,83.5582,-389.096,-67.8976,60.4256,-550.84,-78.4679,202.1,-578.214,256.65,260.61,-455.458,-88.552,538.399,-423.164,292.821,595.05,-379.872,85.3423,948.152,-641.35,42.0069,978.56,-479.631,-110.451,1081.19,-522.607,240.66,1078.55,-424.537,-129.651,1472.77,-303.925,-65.2062,1455.54,-523.524,247.653,1492.55,-401.692,269.261,1435.04,-469.813,-243.515,1221.21,-704.049,272.089,1262.48,-304.776,-50.2169,1084.22,-172.718,-53.9862,1122.82,-197.028,-64.9249,1035.57,-791.147,210.268,1040.19,-779.036,260.197,920.347,-871.609,267.806,960.748,-489.033,53.3332,1514.08,-327.206,109.751,1417.21,-293.455,38.6287,1661.52,-347.079,199.837,1661.97,-433.299,47.7847,1698.69
322,0,-639.121,217.532,138.451,-458.076,294.663,88.1907,-571.115,-54.2643,88.4813,-388.978,-68.2723,60.377,-550.213,-79.3677,206.8,-577.69,255.333,264.182,-462.143,-91.1759,546.497,-424.635,290.274,600.546,-379.962,84.6279,954.637,-642.309,45.4427,987.832,-482.174,-108.956,1089.83,-519.465,242.58,1085.79,-425.885,-127.107,1480.79,-304.636,-63.908,1463.84,-520.122,250.783,1500.2,-398.295,271.207,1441.47,-470.218,-240.807,1227.78,-701.616,274.803,1271.71,-297.904,-42.3993,1107.63,-167.502,-48.8523,1152.26,-187.882,-54.8263,1063.53,-796.602,210.852,1054.56,-788.766,256.181,933.09,-879.999,264.135,976.165,-488.302,56.6467,1521.5,-325.749,111.069,1424.36,-292.884,40.5896,1668.39,-346.935,199.478,1668.22,-432.798,50.3611,1705.8
323,0,-639.28,215.533,142.453,-458.833,290.645,86.0812,-570.011,-54.5548,91.8101,-389.128,-68.7956,60.4548,-549.358,-81.3566,212.014,-576.741,254.672,267.763,-468.193,-93.7747,554.486,-425.992,288.206,606.124,-380.058,83.8811,960.994,-643.102,49.1263,996.886,-484.757,-106.924,1097.93,-516.349,244.262,1092.55,-427.31,-124.703,1488.13,-305.534,-62.4387,1471.3,-516.812,254.063,1507.21,-395.025,273.138,1447.57,-470.451,-238.323,1233.68,-698.719,278.236,1280.1,-291.804,-34.4199,1130.9,-163.669,-43.0329,1179.86,-179.888,-45.3439,1090.75,-801.503,212.34,1068.18,-796.755,251.937,944.831,-887.056,261.683,990.235,-487.605,60.0844,1528.42,-324.724,112.083,1431.18,-292.465,42.3596,1674.9,-345.72,202.171,1674.64,-432.302,52.9579,1712.53
324,0,-639.239,213.331,145.605,-459.089,286.156,83.5185,-569.168,-56.7834,95.7037,-389.973,-69.592,60.8328,-549.036,-83.9121,218.145,-575.353,254.411,270.456,-473.092,-95.772,561.958,-427.639,285.639,611.016,-379.936,83.1274,967.057,-643.806,52.4648,1005.32,-487.287,-104.916,1105.37,-513.442,246.028,1098.76,-428.743,-122.227,1494.8,-306.491,-61.0413,1477.91,-513.711,257.225,1513.29,-392.036,275.018,1453.07,-470.732,-235.246,1238.34,-695.727,282.059,1287.04,-285.634,-25.641,1154.44,-160.551,-39.3661,1207.45,-173.607,-35.9751,1117.23,-805.807,214.946,1080.31,-803.191,248.92,955.993,-892.608,261.187,1002.92,-487.218,63.3806,1534.64,-323.771,113.362,1437.36,-292.087,44.3697,1680.69,-344.831,204.303,1679.87,-431.975,55.9574,1718.74
325,0,-639.057,211.312,147.829,-460.179,281.152,80.1155,-571.076,-60.5862,100.127,-392.625,-71.2215,60.8394,-549.8,-86.6275,223.852,-574.135,253.444,271.98,-476.741,-97.2541,568.652,-429.487,283.724,615.356,-379.616,82.7786,972.398,-644.319,55.9872,1013.25,-489.679,-103.165,1112.16,-510.502,247.943,1104.23,-430.341,-119.892,1500.38,-308.037,-59.5814,1483.53,-510.908,260.476,1518.59,-389.362,276.656,1457.67,-470.956,-232.852,1242.09,-692.7,286.424,1292.72,-282.253,-21.0386,1175.32,-158.807,-35.627,1233.59,-167.526,-28.6919,1143.4,-809.418,218.268,1090.66,-808.573,246.922,965.37,-896.846,263.103,1013.85,-487.031,66.6464,1540.07,-323.253,114.457,1442.6,-292.033,46.3259,1685.08,-344.168,205.783,1683.95,-432.194,57.6287,1724.18
326,0,-639.062,209.417,149.079,-460.944,277.17,77.9446,-577.134,-64.0709,104.814,-399.22,-76.4931,61.7523,-553.072,-89.7512,228.358,-573.191,252.343,272.658,-477.881,-98.3791,574.45,-431.222,282.276,619.103,-379.072,82.5863,977.01,-644.661,59.2687,1020.18,-491.797,-101.465,1118.03,-507.84,249.733,1108.88,-432.314,-117.737,1505.06,-309.766,-58.2201,1487.96,-508.567,263.61,1522.38,-387.106,277.984,1461.1,-470.809,-230.479,1244.52,-689.696,291.4,1296.79,-279.081,-15.7327,1195.36,-158.419,-32.5277,1258.77,-162.853,-21.8435,1168.75,-812.663,222.837,1099.08,-812.878,246.247,972.663,-899.627,266.944,1022.28,-487.113,69.4479,1544.28,-323.016,115.442,1446.82,-292.171,47.7846,1688.53,-343.514,208.597,1687.01,-431.946,61.021,1728.52
327,0,-639.747,206.902,149.418,-462.513,272.576,74.6412,-586.891,-68.039,109.619,-409.674,-83.3555,65.5192,-559.679,-93.8153,234.111,-572.996,251.295,272.929,-476.599,-98.5295,578.635,-433.298,280.951,621.572,-378.465,82.5834,980.609,-644.83,62.363,1026.03,-493.48,-99.5136,1122.38,-505.342,251.668,1112.33,-434.747,-115.869,1508.52,-312.105,-57.4517,1491.49,-506.614,266.783,1524.64,-385.3,279.257,1463.52,-470.395,-227.905,1245.33,-686.737,296.911,1299.12,-276.43,-10.4425,1214.03,-159.355,-29.8702,1282.73,-159.25,-15.8667,1192.92,-815.627,228.081,1105.11,-815.709,247.051,978.127,-901.142,273.151,1027.56,-487.82,72.1861,1547.26,-323.009,116.359,1449.82,-292.282,49.5043,1690.83,-343.176,210.597,1688.9,-432.258,64.1073,1731.74
328,0,-640.711,204.002,148.796,-464.085,268.189,71.3878,-599.09,-72.2852,116.939,-423.396,-90.9412,68.3755,-568.736,-97.3443,239.961,-573.581,249.785,271.942,-473.18,-98.6297,581.434,-435.55,279.602,623.053,-377.982,82.9533,983.111,-644.757,65.4931,1030.26,-494.901,-97.6315,1125.38,-502.955,253.798,1114.47,-437.787,-115.584,1511.18,-315.108,-55.6465,1493.59,-505.155,270.023,1525.42,-384.024,280.41,1464.41,-469.409,-225.739,1244.7,-683.954,302.388,1299.59,-273.885,-4.43941,1231.19,-161.696,-27.6516,1304.84,-156.947,-10.2439,1215.54,-818.042,234.72,1108.72,-816.959,248.927,981.471,-901.254,281.395,1029.28,-489,74.6002,1548.63,-323.327,117.015,1451.81,-292.584,51.0226,1692.31,-343.284,211.72,1689.82,-433.075,66.1102,1733.96
329,0,-642.258,201.26,147.888,-466.247,264.007,67.4587,-613.806,-75.92,124.736,-440.046,-98.2817,70.7035,-579.31,-100.085,246.379,-574.802,248.036,269.691,-468.779,-99.0098,583.265,-437.671,278.515,623.151,-377.516,83.5509,984.644,-644.308,69.3697,1032.25,-496.155,-95.663,1126.68,-500.981,255.967,1115.31,-441.244,-113.064,1511.03,-318.335,-55.2897,1494.7,-504.311,273.214,1524.74,-382.924,281.58,1464.1,-468.092,-223.68,1242.72,-681.362,307.721,1298.15,-274.521,-4.69004,1244.21,-165.1,-26.4245,1324.8,-155.131,-6.14432,1236.65,-819.242,241.793,1109.57,-816.932,252.468,982.226,-899.934,291.184,1028,-490.589,77.0647,1548.46,-323.683,117.648,1452.49,-293.063,52.8438,1693.16,-343.549,212.863,1689.9,-433.737,68.5195,1734.78
330,0,-643.509,198.221,146.086,-468.792,260.602,63.481,-630.401,-79.306,133.606,-459.356,-105.715,73.1591,-590.445,-103.429,254.301,-576.052,247.154,267.494,-463.465,-100.515,584.208,-440.077,277.485,621.7,-377.03,84.6337,984.98,-643.52,73.4532,1031.73,-497.575,-93.4559,1126.5,-499.246,258.301,1114.72,-445.133,-113.238,1510.58,-321.531,-55.5198,1495.27,-503.963,275.586,1522.49,-382.203,282.514,1462.67,-466.568,-221.242,1239.47,-678.959,312.444,1294.86,-274.217,-1.82773,1256.37,-169.359,-25.6613,1342.22,-154.756,-2.90955,1255.23,-819.279,248.76,1107.53,-815.642,259.955,980.603,-897.497,301.597,1024.72,-492.623,79.547,1546.82,-324.362,118.29,1452.1,-293.674,54.3712,1692.99,-343.417,215.79,1689.58,-434.332,70.6975,1734.34
331,0,-646.241,196.019,143.827,-472.322,257.062,62.8106,-648.202,-83.4593,144.011,-480.518,-112.459,76.9449,-602.61,-106.504,263.08,-578.12,245.146,264.077,-456.802,-101.707,584.221,-441.9,277.321,618.952,-376.488,86.0056,984.116,-643.308,74.135,1030.32,-499.188,-90.9684,1125.09,-497.815,260.6,1112.56,-449.307,-110.961,1507.61,-326.058,-52.2971,1493.5,-503.704,278.962,1519.95,-381.786,283.336,1460.57,-465.069,-219.138,1235.52,-677.026,316.392,1290.17,-274.636,0.198981,1266.27,-173.949,-25.4976,1356.46,-155.384,-0.0880836,1270.89,-817.778,255.526,1103,-812.821,270.187,976.041,-894.249,311.561,1020.3,-494.955,81.9147,1544.02,-325.185,118.819,1450.78,-294.037,54.3494,1692.5,-343.755,216.99,1688.05,-434.924,73.5732,1732.87
332,0,-648.573,194.625,140.119,-476.366,254.906,61.961,-666.905,-88.7949,157.276,-502.658,-118.877,81.3393,-614.669,-110.131,274.037,-580.272,243.939,260.787,-448.892,-101.973,583.476,-443.545,277.504,614.665,-376.31,87.0766,982.055,-642.069,75.9037,1026.07,-500.639,-88.5762,1122.8,-496.697,263.038,1109.01,-453.385,-110.819,1504.58,-329.297,-53.4033,1492.58,-503.792,281.493,1516.24,-381.561,284.244,1457.83,-463.913,-216.953,1230.93,-674.906,319.776,1284.14,-275.446,1.86484,1273.7,-178.673,-25.3937,1367.69,-156.187,1.55196,1283.74,-814.735,262.299,1095.89,-808.158,282.5,968.851,-890.229,321.693,1015.05,-497.287,84.241,1540.41,-326.265,119.271,1448.65,-295.923,56.727,1689.88,-344.372,217.813,1685.41,-435.787,75.5093,1730.32
333,0,-651.246,193.912,134.708,-478.148,253.845,62.262,-684.564,-93.786,172.309,-525.153,-125.463,87.5038,-625.636,-113.443,286.67,-582.825,241.508,255.629,-440.517,-103.089,582.853,-444.981,278.357,609.277,-375.228,89.2757,978.663,-640.812,77.4386,1019.53,-501.888,-85.9394,1119.26,-495.421,265.325,1104.22,-457.757,-109.473,1500.18,-332.847,-53.8094,1490.37,-504.249,283.558,1511.33,-381.469,285.108,1454.44,-463.18,-214.244,1225.24,-672.321,323.484,1276.88,-274.919,6.58289,1280.46,-183.312,-24.7289,1375.56,-158.101,3.26098,1292.86,-810.074,269.094,1086.33,-801.506,296.815,960.154,-884.676,331.541,1007.17,-499.625,86.464,1536,-327.802,119.496,1445.68,-297.211,57.6783,1686.51,-345.121,219.064,1681.96,-436.769,78.5553,1727.06
334,0,-653.587,193.845,127.758,-478.748,253.494,62.4414,-701.982,-99.9788,189.27,-547.85,-131.06,95.2485,-635.544,-116.879,299.513,-585.201,239.973,250.665,-432.107,-104.115,581.045,-446.485,279.569,602.866,-374.613,90.7494,974.225,-640.268,78.4029,1010.82,-502.943,-83.6484,1114.81,-494.098,267.123,1098.18,-462.156,-107.377,1494.85,-336.29,-53.5154,1486.86,-505.02,285.802,1505.81,-381.432,286.105,1450.51,-462.887,-211.75,1218.82,-669.188,327.391,1268.42,-275.807,8.41756,1283.1,-187.198,-24.6002,1380.88,-159.676,4.34923,1299.17,-803.714,276.326,1074.49,-792.622,311.1,949.595,-877.112,342.276,996.72,-502.126,88.6812,1531.21,-329.477,119.864,1441.96,-298.584,58.2238,1682.46,-345.805,219.963,1678.14,-438.787,77.9525,1723.97
335,0,-657.595,191.853,121.298,-479.193,253.922,62.2607,-718.11,-105.355,206.518,-569.81,-136.822,104.248,-644.238,-120.891,313.913,-587.274,238.955,248.264,-423.427,-104.616,577.74,-448.276,280.233,595.483,-373.783,92.5977,968.711,-639.548,78.9592,1001.01,-503.771,-81.8423,1108.69,-492.936,268.826,1091.03,-466.386,-105.207,1488.24,-339.904,-52.6712,1482.15,-505.708,288.015,1499.47,-381.533,286.855,1445.68,-462.945,-209.229,1211.74,-665.888,331.88,1259.54,-276.675,10.1124,1283.66,-190.806,-24.2649,1383.13,-161.381,5.26264,1302.1,-795.667,283.918,1060.66,-781.613,325.22,937.689,-867.613,353.614,983.79,-504.982,90.4377,1525.28,-331.162,120.386,1437.36,-300.78,60.2017,1677.21,-347.941,221.912,1672.79,-440.764,78.7546,1719.33
336,0,-661.25,191.449,115.067,-479.414,253.465,62.4682,-733.092,-111.435,225.348,-590.816,-142.23,114.791,-651.286,-124.01,328.087,-594.977,233.208,240.055,-415.261,-104.218,574.196,-450.41,280.154,587.277,-372.619,94.907,962.104,-638.452,80.0238,990.941,-504.667,-80.7527,1100.94,-492.013,270.554,1083.29,-469.893,-105.102,1481.71,-343.201,-52.3322,1476.6,-506.397,290.218,1492.24,-381.535,287.68,1440.2,-463.29,-206.843,1204.03,-661.803,336.632,1249.07,-278.455,10.0705,1281.67,-193.989,-23.4746,1382.58,-163.361,6.09008,1301.85,-786.005,291.928,1045.07,-768.445,339.654,924.501,-856.052,364.981,968.812,-507.796,92.3756,1518.14,-332.866,120.645,1431.83,-302.037,59.7546,1671.83,-348.864,221.952,1667.58,-442.629,80.2714,1713.94
337,0,-663.826,189.587,108.426,-479.595,253.417,62.8604,-746.221,-117.6,245.552,-610.436,-147.469,125.991,-656.613,-128.195,343.306,-601.192,231.811,234.676,-407.707,-104.012,570.996,-452.216,280.12,578.631,-371.488,96.4023,954.994,-637.506,81.3408,980.695,-505.676,-79.8646,1092.14,-491.813,271.895,1074.91,-472.991,-104.508,1473.89,-346.267,-51.2925,1469.79,-506.998,292.462,1484.18,-381.744,288.292,1433.88,-464.031,-204.134,1195.65,-657.547,341.43,1237.34,-279.621,10.8532,1277.22,-196.747,-22.5151,1379.57,-164.592,5.91686,1299.34,-774.821,300.007,1028.14,-753.085,353.562,910.045,-842.566,375.984,952.211,-510.639,93.8751,1509.81,-334.707,120.891,1425.81,-304.596,61.5415,1665.27,-351.646,223.717,1660.59,-444.779,81.6021,1707.12
338,0,-666.538,187.988,102.289,-479.832,253.283,62.9203,-756.919,-122.338,264.79,-628.658,-152.454,138.251,-660.782,-131.382,357.035,-606.329,230.522,228.693,-400.405,-104.074,566.316,-453.542,280.116,570.009,-370.76,97.7554,947.658,-637.095,82.3661,969.522,-506.548,-79.1097,1082.51,-492.266,273.073,1066.08,-475.576,-102.613,1464.9,-348.895,-51.4353,1462.95,-507.553,294.82,1475.55,-382.158,288.632,1426.95,-464.893,-202.159,1187.31,-652.751,346.614,1224.59,-280.329,11.8169,1270.52,-198.985,-21.51,1374.27,-165.864,6.49706,1294.01,-761.962,308.084,1010.15,-735.604,367.17,895.024,-826.961,387.074,934.18,-513.178,95.3722,1500.85,-336.332,121.332,1419.07,-306.845,62.5522,1659.15,-354.207,224.93,1653.68,-446.3,83.4357,1699.69
339,0,-668.742,186.976,96.4765,-480.023,253.278,63.1271,-766.029,-127.045,283.963,-644.979,-156.773,150.649,-664.125,-133.897,368.991,-609.921,229.426,223.274,-393.761,-104.51,561.44,-454.037,280.066,561.789,-370.561,99.6905,939.571,-637.19,84.4012,957.884,-507.257,-78.6987,1072.47,-493.1,274.26,1057.34,-477.835,-102.701,1456.74,-351.205,-50.5756,1454.92,-508.201,297.429,1466.63,-382.606,288.902,1419.68,-466.154,-200.004,1178.77,-647.331,352.077,1211.01,-281.941,10.275,1260.87,-200.747,-20.3616,1366.86,-166.47,6.57843,1286.52,-747.443,316.382,991.506,-715.786,379.957,879.497,-808.885,398.139,914.721,-515.13,96.6872,1492.62,-338.01,121.365,1412,-308.4,63.7016,1652.63,-355.747,226.27,1646.33,-447.798,86.1658,1691.72
